Total number of words: 2973399
Total number of distinct words: 52488
Popular treshold: 2625
Lower common treshold: 24931
Upper common treshold: 27557
Rare treshold: 49863

Popular words
+---------------+---------+----+
|           Word|Frequency|Rank|
|          floor|      296| 896|
|         secret|      296| 897|
|     throughout|      295| 898|
|         sought|      294| 899|
|         beyond|      293| 900|
|           doth|      293| 901|
|         lifted|      293| 902|
|       property|      293| 903|
|  understanding|      293| 904|
|          front|      292| 905|
|         raised|      292| 906|
|         tongue|      291| 907|
|       whatever|      291| 908|
|      appointed|      290| 909|
|           fair|      290| 910|
|       pleasant|      290| 911|
|           sect|      290| 912|
|          tears|      290| 913|
|       believed|      289| 914|
|          forty|      289| 915|
|          green|      289| 916|
|       kingdome|      289| 917|
|           lest|      289| 918|
|         placed|      289| 919|
|           rich|      289| 920|
|           sake|      289| 921|
|     especially|      287| 922|
|            hes|      287| 923|
|       language|      287| 924|
|      offerings|      287| 925|
|             st|      287| 926|
|           edna|      286| 927|
|          added|      285| 928|
|        babylon|      285| 929|
|         effect|      285| 930|
|           lion|      285| 931|
|       observed|      285| 932|
|              b|      284| 933|
|          clear|      284| 934|
|            hot|      284| 935|
|           play|      284| 936|
|         struck|      284| 937|
|      religious|      283| 938|
|      disciples|      282| 939|
|      trademark|      282| 940|
|           ears|      281| 941|
|       iniquity|      281| 942|
|           week|      281| 943|
|          ghost|      280| 944|
|        leaving|      280| 945|
|         refund|      280| 946|
|           blue|      279| 947|
|      including|      279| 948|
|           east|      278| 949|
|          lying|      278| 950|
|         pieces|      278| 951|
|      certainly|      277| 952|
|       marriage|      277| 953|
|          dress|      276| 954|
|       greatest|      276| 955|
|            hat|      276| 956|
|         horses|      275| 957|
|        levites|      275| 958|
|      afterward|      274| 959|
|       departed|      274| 960|
|         former|      274| 961|
|         fellow|      273| 962|
|        support|      273| 963|
|     impossible|      272| 964|
|        promise|      272| 965|
|       doctrine|      271| 966|
|          noise|      271| 967|
|           wilt|      271| 968|
|           bare|      270| 969|
|         cometh|      270| 970|
|    inheritance|      270| 971|
|       position|      270| 972|
|              c|      269| 973|
