Total number of words: 2103361
Total number of distinct words: 43654
Popular treshold: 2183
Lower common treshold: 20735
Upper common treshold: 22919
Rare treshold: 41471

Popular words
+--------------+---------+----+
|          Word|Frequency|Rank|
|      bardolph|      209| 962|
|          base|      209| 963|
|         deeds|      209| 964|
|       entered|      209| 965|
|   opportunity|      209| 966|
|       revenge|      209| 967|
|          soft|      209| 968|
|       jaggers|      208| 969|
|        simple|      208| 970|
|        angelo|      207| 971|
|     character|      207| 972|
|       colonel|      207| 973|
|         early|      207| 974|
|      fortunes|      207| 975|
|      governor|      207| 976|
|          lucy|      207| 977|
|     petruchio|      207| 978|
|     adventure|      206| 979|
|         brave|      206| 980|
|       fairfax|      206| 981|
|        remain|      206| 982|
|          toby|      206| 983|
|       warrant|      206| 984|
|          drew|      205| 985|
|          sing|      205| 986|
|       citizen|      204| 987|
|       confess|      204| 988|
|         pride|      204| 989|
|        battle|      203| 990|
|      clarence|      203| 991|
|        forget|      203| 992|
|          gate|      203| 993|
|        hector|      203| 994|
|          wall|      203| 995|
|        arcite|      202| 996|
|       bastard|      202| 997|
|         friar|      202| 998|
|         merry|      202| 999|
|        number|      202|1000|
|          safe|      202|1001|
|           inn|      201|1002|
|        nobody|      201|1003|
|          shut|      201|1004|
|         angry|      200|1005|
|          hang|      200|1006|
|        likely|      200|1007|
|        notice|      200|1008|
|       reached|      200|1009|
|        report|      200|1010|
|     agreement|      199|1011|
|      benedick|      199|1012|
|        mighty|      199|1013|
|       mothers|      199|1014|
|        states|      198|1015|
|         flesh|      197|1016|
|          host|      197|1017|
|      jennings|      197|1018|
|        juliet|      197|1019|
|        pompey|      197|1020|
|       berowne|      196|1021|
|       calling|      196|1022|
|     companion|      196|1023|
|          deny|      196|1024|
|      menenius|      196|1025|
|          moon|      196|1026|
|       talking|      196|1027|
|       kingdom|      195|1028|
|          oath|      195|1029|
|      standing|      195|1030|
|           yea|      195|1031|
|       delight|      194|1032|
|        helena|      194|1033|
|    attendants|      193|1034|
|     beautiful|      193|1035|
|        became|      193|1036|
|          bold|      193|1037|
|         bosom|      193|1038|
|       changed|      193|1039|
|          gain|      193|1040|
|          grow|      193|1041|
|      kindness|      193|1042|
|       leaving|      193|1043|
|       manners|      193|1044|
|        attend|      192|1045|
|         dress|      192|1046|
|          kent|      192|1047|
|      pandarus|      192|1048|
