Total number of words: 2960482
Total number of distinct words: 68360
Popular treshold: 3418
Lower common treshold: 32471
Upper common treshold: 35889
Rare treshold: 64942

Popular words
+---------------+---------+----+
|           Word|Frequency|Rank|
|         taking|      391| 708|
|             ah|      390| 709|
|          plain|      390| 710|
|           wise|      390| 711|
|        picture|      389| 712|
|           wild|      388| 713|
|         effect|      387| 714|
|         hearts|      387| 715|
|        history|      387| 716|
|            try|      387| 717|
|           mans|      386| 718|
|          crown|      385| 719|
|           rose|      384| 720|
|       answered|      383| 721|
|         hardly|      383| 722|
|          learn|      383| 723|
|           pity|      383| 724|
|        private|      383| 725|
|         figure|      382| 726|
|        learned|      382| 727|
|           walk|      382| 728|
|       greatest|      381| 729|
|             ii|      381| 730|
|          lived|      380| 731|
|           mere|      380| 732|
|         edward|      378| 733|
|            six|      378| 734|
|          yours|      378| 735|
|      principle|      375| 736|
|           wilt|      375| 737|
|        carried|      374| 738|
|           easy|      374| 739|
|          trust|      374| 740|
|         bloody|      373| 741|
|          drink|      373| 742|
|            big|      372| 743|
|         degree|      372| 744|
|          field|      372| 745|
|         object|      372| 746|
|            ear|      371| 747|
|           town|      371| 748|
|           road|      370| 749|
|         former|      368| 750|
|         pretty|      368| 751|
|            hot|      367| 752|
|         except|      366| 753|
|          green|      366| 754|
|           iago|      366| 755|
|          loved|      366| 756|
|         pardon|      365| 757|
|          clown|      364| 758|
|         proper|      364| 759|
|           dare|      363| 760|
|          devil|      363| 761|
|           ears|      363| 762|
|        evening|      362| 763|
|           sake|      362| 764|
|          parts|      361| 765|
|           bill|      360| 766|
|           jane|      360| 767|
|           paid|      360| 768|
|            sad|      360| 769|
|        federal|      359| 770|
|            joy|      359| 771|
|           lets|      359| 772|
|       straight|      358| 773|
|          grave|      357| 774|
|             st|      357| 775|
|          table|      357| 776|
|       returned|      356| 777|
|            led|      354| 778|
|         struck|      353| 779|
|          touch|      352| 780|
|         worthy|      352| 781|
|         chance|      351| 782|
|            eat|      351| 783|
|        members|      350| 784|
|        silence|      349| 785|
|       standing|      349| 786|
|           lose|      348| 787|
|           holy|      347| 788|
|            ran|      346| 789|
|          shalt|      346| 790|
|          proud|      345| 791|
|         wanted|      345| 792|
|       whatever|      345| 793|
|         bright|      344| 794|
|           note|      343| 795|
|           boat|      342| 796|
|     everything|      342| 797|
|        foreign|      342| 798|
|         around|      341| 799|
|          heads|      341| 800|
|           fast|      340| 801|
|          plato|      340| 802|
|           glad|      339| 803|
|         latter|      339| 804|
|           sons|      339| 805|
|          below|      338| 806|
|         likely|      338| 807|
|        trouble|      338| 808|
|         twenty|      338| 809|
|         future|      337| 810|
|          lorry|      337| 811|
|         window|      337| 812|
|        liberty|      336| 813|
|            fit|      335| 814|
|         hither|      335| 815|
|         ladies|      335| 816|
|           grow|      333| 817|
|          added|      332| 818|
|          drawn|      331| 819|
|            fly|      331| 820|
|       soldiers|      331| 821|
|  circumstances|      330| 822|
|         simple|      330| 823|
|          write|      330| 824|
|        written|      330| 825|
|         action|      329| 826|
|        othello|      329| 827|
|          gives|      327| 828|
|          quiet|      327| 829|
|        soldier|      327| 830|
|          march|      326| 831|
|       position|      325| 832|
|        account|      324| 833|
|       although|      324| 834|
|        command|      324| 835|
|         across|      323| 836|
|        majesty|      323| 837|
|          moved|      323| 838|
|       speaking|      323| 839|
|           wall|      323| 840|
|           hell|      321| 841|
|          swear|      321| 842|
|          uncle|      321| 843|
|           hall|      319| 844|
|        instead|      318| 845|
|           ones|      318| 846|
|        measure|      317| 847|
|        passion|      317| 848|
|      rochester|      317| 849|
|            wit|      315| 850|
